MTH_YR,CHO_DESC,LHO_DESC_CHO,CLIENT_NORM_AGE_GROUP,CLIENT_NORM_AGE_GROUP_DESC,GENDER,Age Classification
202006,CHO Area 1,Cavan / Monaghan,0-04,Under 5 Years,Female,2969
202006,CHO Area 1,Donegal,0-04,Under 5 Years,Female,2810
202006,CHO Area 1,Sligo / Leitrim / West Cavan,0-04,Under 5 Years,Female,1767
202006,CHO Area 1,Cavan / Monaghan,0-04,Under 5 Years,Male,3137
202006,CHO Area 1,Donegal,0-04,Under 5 Years,Male,2955
202006,CHO Area 1,Sligo / Leitrim / West Cavan,0-04,Under 5 Years,Male,1930
202006,CHO Area 1,Cavan / Monaghan,05-Nov,05-11 Years,Female,1111
202006,CHO Area 1,Donegal,05-Nov,05-11 Years,Female,1201
202006,CHO Area 1,Sligo / Leitrim / West Cavan,05-Nov,05-11 Years,Female,757
202006,CHO Area 1,Cavan / Monaghan,05-Nov,05-11 Years,Male,1187
202006,CHO Area 1,Donegal,05-Nov,05-11 Years,Male,1228
202006,CHO Area 1,Sligo / Leitrim / West Cavan,05-Nov,05-11 Years,Male,749
202006,CHO Area 1,Cavan / Monaghan,Dec-15,12-15 Years,Female,264
202006,CHO Area 1,Donegal,Dec-15,12-15 Years,Female,311
202006,CHO Area 1,Sligo / Leitrim / West Cavan,Dec-15,12-15 Years,Female,138
202006,CHO Area 1,Cavan / Monaghan,Dec-15,12-15 Years,Male,255
202006,CHO Area 1,Donegal,Dec-15,12-15 Years,Male,340
202006,CHO Area 1,Sligo / Leitrim / West Cavan,Dec-15,12-15 Years,Male,151
202006,CHO Area 1,Cavan / Monaghan,16-24,16-24 Years,Female,369
202006,CHO Area 1,Donegal,16-24,16-24 Years,Female,530
202006,CHO Area 1,Sligo / Leitrim / West Cavan,16-24,16-24 Years,Female,252
202006,CHO Area 1,Cavan / Monaghan,16-24,16-24 Years,Male,297
202006,CHO Area 1,Donegal,16-24,16-24 Years,Male,423
202006,CHO Area 1,Sligo / Leitrim / West Cavan,16-24,16-24 Years,Male,189
202006,CHO Area 1,Cavan / Monaghan,25-34,25-34 Years,Female,331
202006,CHO Area 1,Donegal,25-34,25-34 Years,Female,416
202006,CHO Area 1,Sligo / Leitrim / West Cavan,25-34,25-34 Years,Female,211
202006,CHO Area 1,Cavan / Monaghan,25-34,25-34 Years,Male,184
202006,CHO Area 1,Donegal,25-34,25-34 Years,Male,220
202006,CHO Area 1,Sligo / Leitrim / West Cavan,25-34,25-34 Years,Male,114
202006,CHO Area 1,Cavan / Monaghan,35-44,35-44 Years,Female,541
202006,CHO Area 1,Donegal,35-44,35-44 Years,Female,736
