MTH_YR,CHO_DESC,LHO_DESC_CHO,CLIENT_NORM_AGE_GROUP,CLIENT_NORM_AGE_GROUP_DESC,GENDER,Age Classification
202006,CHO Area 1,Cavan / Monaghan,0-04,Under 5 Years,Female,1211
202006,CHO Area 1,Donegal,0-04,Under 5 Years,Female,1780
202006,CHO Area 1,Sligo / Leitrim / West Cavan,0-04,Under 5 Years,Female,759
202006,CHO Area 1,Cavan / Monaghan,0-04,Under 5 Years,Male,1271
202006,CHO Area 1,Donegal,0-04,Under 5 Years,Male,1817
202006,CHO Area 1,Sligo / Leitrim / West Cavan,0-04,Under 5 Years,Male,763
202006,CHO Area 1,Cavan / Monaghan,05-Nov,05-11 Years,Female,2531
202006,CHO Area 1,Donegal,05-Nov,05-11 Years,Female,3449
202006,CHO Area 1,Sligo / Leitrim / West Cavan,05-Nov,05-11 Years,Female,1554
202006,CHO Area 1,Cavan / Monaghan,05-Nov,05-11 Years,Male,2796
202006,CHO Area 1,Donegal,05-Nov,05-11 Years,Male,3828
202006,CHO Area 1,Sligo / Leitrim / West Cavan,05-Nov,05-11 Years,Male,1830
202006,CHO Area 1,Cavan / Monaghan,Dec-15,12-15 Years,Female,1542
202006,CHO Area 1,Donegal,Dec-15,12-15 Years,Female,2255
202006,CHO Area 1,Sligo / Leitrim / West Cavan,Dec-15,12-15 Years,Female,968
202006,CHO Area 1,Cavan / Monaghan,Dec-15,12-15 Years,Male,1644
202006,CHO Area 1,Donegal,Dec-15,12-15 Years,Male,2501
202006,CHO Area 1,Sligo / Leitrim / West Cavan,Dec-15,12-15 Years,Male,1117
202006,CHO Area 1,Cavan / Monaghan,16-24,16-24 Years,Female,2321
202006,CHO Area 1,Donegal,16-24,16-24 Years,Female,3656
202006,CHO Area 1,Sligo / Leitrim / West Cavan,16-24,16-24 Years,Female,1538
202006,CHO Area 1,Cavan / Monaghan,16-24,16-24 Years,Male,2086
202006,CHO Area 1,Donegal,16-24,16-24 Years,Male,3297
202006,CHO Area 1,Sligo / Leitrim / West Cavan,16-24,16-24 Years,Male,1527
202006,CHO Area 1,Cavan / Monaghan,25-34,25-34 Years,Female,2173
202006,CHO Area 1,Donegal,25-34,25-34 Years,Female,3258
202006,CHO Area 1,Sligo / Leitrim / West Cavan,25-34,25-34 Years,Female,1540
202006,CHO Area 1,Cavan / Monaghan,25-34,25-34 Years,Male,1370
202006,CHO Area 1,Donegal,25-34,25-34 Years,Male,2295
202006,CHO Area 1,Sligo / Leitrim / West Cavan,25-34,25-34 Years,Male,1169
202006,CHO Area 1,Cavan / Monaghan,35-44,35-44 Years,Female,3219
202006,CHO Area 1,Donegal,35-44,35-44 Years,Female,4572
202006,CHO Area 1,Sligo / Leitrim / West Cavan,35-44,35-44 Years,Female,2132
202006,CHO Area 1,Cavan / Monaghan,35-44,35-44 Years,Male,2267
202006,CHO Area 1,Donegal,35-44,35-44 Years,Male,3570
202006,CHO Area 1,Sligo / Leitrim / West Cavan,35-44,35-44 Years,Male,1667
202006,CHO Area 1,Cavan / Monaghan,45-54,45-54 Years,Female,3183
202006,CHO Area 1,Donegal,45-54,45-54 Years,Female,5011
202006,CHO Area 1,Sligo / Leitrim / West Cavan,45-54,45-54 Years,Female,2271
202006,CHO Area 1,Cavan / Monaghan,45-54,45-54 Years,Male,2798
202006,CHO Area 1,Donegal,45-54,45-54 Years,Male,4569
202006,CHO Area 1,Sligo / Leitrim / West Cavan,45-54,45-54 Years,Male,2106
202006,CHO Area 1,Cavan / Monaghan,55-64,55-64 Years,Female,2891
202006,CHO Area 1,Donegal,55-64,55-64 Years,Female,4650
202006,CHO Area 1,Sligo / Leitrim / West Cavan,55-64,55-64 Years,Female,2289
202006,CHO Area 1,Cavan / Monaghan,55-64,55-64 Years,Male,2768
202006,CHO Area 1,Donegal,55-64,55-64 Years,Male,4329
202006,CHO Area 1,Sligo / Leitrim / West Cavan,55-64,55-64 Years,Male,2236
202006,CHO Area 1,Cavan / Monaghan,65-69,65-69 Years,Female,1623
202006,CHO Area 1,Donegal,65-69,65-69 Years,Female,2507
202006,CHO Area 1,Sligo / Leitrim / West Cavan,65-69,65-69 Years,Female,1315
202006,CHO Area 1,Cavan / Monaghan,65-69,65-69 Years,Male,1395
202006,CHO Area 1,Donegal,65-69,65-69 Years,Male,2303
202006,CHO Area 1,Sligo / Leitrim / West Cavan,65-69,65-69 Years,Male,1193
202006,CHO Area 1,Cavan / Monaghan,70-74,70-74 Years,Female,1937
202006,CHO Area 1,Donegal,70-74,70-74 Years,Female,3017
202006,CHO Area 1,Sligo / Leitrim / West Cavan,70-74,70-74 Years,Female,1675
202006,CHO Area 1,Cavan / Monaghan,70-74,70-74 Years,Male,1810
202006,CHO Area 1,Donegal,70-74,70-74 Years,Male,2763
202006,CHO Area 1,Sligo / Leitrim / West Cavan,70-74,70-74 Years,Male,1547
202006,CHO Area 1,Cavan / Monaghan,75+over,75 Years and Over,Female,4162
202006,CHO Area 1,Donegal,75+over,75 Years and Over,Female,5839
202006,CHO Area 1,Sligo / Leitrim / West Cavan,75+over,75 Years and Over,Female,3586
202006,CHO Area 1,Cavan / Monaghan,75+over,75 Years and Over,Male,3282
202006,CHO Area 1,Donegal,75+over,75 Years and Over,Male,4928
202006,CHO Area 1,Sligo / Leitrim / West Cavan,75+over,75 Years and Over,Male,2769
202006,CHO Area 2,Galway,0-04,Under 5 Years,Female,1802
202006,CHO Area 2,Mayo,0-04,Under 5 Years,Female,981
202006,CHO Area 2,Roscommon,0-04,Under 5 Years,Female,489
202006,CHO Area 2,Galway,0-04,Under 5 Years,Male,1916
202006,CHO Area 2,Mayo,0-04,Under 5 Years,Male,1113
202006,CHO Area 2,Roscommon,0-04,Under 5 Years,Male,553
202006,CHO Area 2,Galway,05-Nov,05-11 Years,Female,3906
202006,CHO Area 2,Mayo,05-Nov,05-11 Years,Female,2219
202006,CHO Area 2,Roscommon,05-Nov,05-11 Years,Female,1150
202006,CHO Area 2,Galway,05-Nov,05-11 Years,Male,4222
202006,CHO Area 2,Mayo,05-Nov,05-11 Years,Male,2468
202006,CHO Area 2,Roscommon,05-Nov,05-11 Years,Male,1252
202006,CHO Area 2,Galway,Dec-15,12-15 Years,Female,2425
202006,CHO Area 2,Mayo,Dec-15,12-15 Years,Female,1375
202006,CHO Area 2,Roscommon,Dec-15,12-15 Years,Female,708
202006,CHO Area 2,Galway,Dec-15,12-15 Years,Male,2774
202006,CHO Area 2,Mayo,Dec-15,12-15 Years,Male,1574
202006,CHO Area 2,Roscommon,Dec-15,12-15 Years,Male,714
202006,CHO Area 2,Galway,16-24,16-24 Years,Female,3824
202006,CHO Area 2,Mayo,16-24,16-24 Years,Female,2297
202006,CHO Area 2,Roscommon,16-24,16-24 Years,Female,1133
202006,CHO Area 2,Galway,16-24,16-24 Years,Male,3522
202006,CHO Area 2,Mayo,16-24,16-24 Years,Male,2103
202006,CHO Area 2,Roscommon,16-24,16-24 Years,Male,1030
202006,CHO Area 2,Galway,25-34,25-34 Years,Female,3699
202006,CHO Area 2,Mayo,25-34,25-34 Years,Female,2022
202006,CHO Area 2,Roscommon,25-34,25-34 Years,Female,983
202006,CHO Area 2,Galway,25-34,25-34 Years,Male,2577
202006,CHO Area 2,Mayo,25-34,25-34 Years,Male,1403
202006,CHO Area 2,Roscommon,25-34,25-34 Years,Male,715
202006,CHO Area 2,Galway,35-44,35-44 Years,Female,5282
202006,CHO Area 2,Mayo,35-44,35-44 Years,Female,2904
202006,CHO Area 2,Roscommon,35-44,35-44 Years,Female,1375
202006,CHO Area 2,Galway,35-44,35-44 Years,Male,3887
202006,CHO Area 2,Mayo,35-44,35-44 Years,Male,2117
202006,CHO Area 2,Roscommon,35-44,35-44 Years,Male,1029
202006,CHO Area 2,Galway,45-54,45-54 Years,Female,5536
202006,CHO Area 2,Mayo,45-54,45-54 Years,Female,3263
202006,CHO Area 2,Roscommon,45-54,45-54 Years,Female,1503
202006,CHO Area 2,Galway,45-54,45-54 Years,Male,4870
202006,CHO Area 2,Mayo,45-54,45-54 Years,Male,2901
202006,CHO Area 2,Roscommon,45-54,45-54 Years,Male,1384
202006,CHO Area 2,Galway,55-64,55-64 Years,Female,4912
202006,CHO Area 2,Mayo,55-64,55-64 Years,Female,3536
202006,CHO Area 2,Roscommon,55-64,55-64 Years,Female,1553
202006,CHO Area 2,Galway,55-64,55-64 Years,Male,4737
202006,CHO Area 2,Mayo,55-64,55-64 Years,Male,3319
202006,CHO Area 2,Roscommon,55-64,55-64 Years,Male,1494
202006,CHO Area 2,Galway,65-69,65-69 Years,Female,2774
202006,CHO Area 2,Mayo,65-69,65-69 Years,Female,2138
202006,CHO Area 2,Roscommon,65-69,65-69 Years,Female,913
202006,CHO Area 2,Galway,65-69,65-69 Years,Male,2444
202006,CHO Area 2,Mayo,65-69,65-69 Years,Male,1859
202006,CHO Area 2,Roscommon,65-69,65-69 Years,Male,828
202006,CHO Area 2,Galway,70-74,70-74 Years,Female,3327
202006,CHO Area 2,Mayo,70-74,70-74 Years,Female,2400
202006,CHO Area 2,Roscommon,70-74,70-74 Years,Female,1048
202006,CHO Area 2,Galway,70-74,70-74 Years,Male,3063
202006,CHO Area 2,Mayo,70-74,70-74 Years,Male,2435
202006,CHO Area 2,Roscommon,70-74,70-74 Years,Male,963
202006,CHO Area 2,Galway,75+over,75 Years and Over,Female,7680
202006,CHO Area 2,Mayo,75+over,75 Years and Over,Female,5228
202006,CHO Area 2,Roscommon,75+over,75 Years and Over,Female,2470
202006,CHO Area 2,Galway,75+over,75 Years and Over,Male,5990
202006,CHO Area 2,Mayo,75+over,75 Years and Over,Male,4168
202006,CHO Area 2,Roscommon,75+over,75 Years and Over,Male,2072
202006,CHO Area 3,Clare,0-04,Under 5 Years,Female,854
202006,CHO Area 3,Limerick,0-04,Under 5 Years,Female,1810
202006,CHO Area 3,North Tipp./East Limerick,0-04,Under 5 Years,Female,529
202006,CHO Area 3,Clare,0-04,Under 5 Years,Male,872
202006,CHO Area 3,Limerick,0-04,Under 5 Years,Male,1896
202006,CHO Area 3,North Tipp./East Limerick,0-04,Under 5 Years,Male,550
202006,CHO Area 3,Clare,05-Nov,05-11 Years,Female,1681
202006,CHO Area 3,Limerick,05-Nov,05-11 Years,Female,3460
202006,CHO Area 3,North Tipp./East Limerick,05-Nov,05-11 Years,Female,1207
202006,CHO Area 3,Clare,05-Nov,05-11 Years,Male,1966
202006,CHO Area 3,Limerick,05-Nov,05-11 Years,Male,3912
202006,CHO Area 3,North Tipp./East Limerick,05-Nov,05-11 Years,Male,1331
202006,CHO Area 3,Clare,Dec-15,12-15 Years,Female,1199
202006,CHO Area 3,Limerick,Dec-15,12-15 Years,Female,1981
202006,CHO Area 3,North Tipp./East Limerick,Dec-15,12-15 Years,Female,738
202006,CHO Area 3,Clare,Dec-15,12-15 Years,Male,1264
202006,CHO Area 3,Limerick,Dec-15,12-15 Years,Male,2248
202006,CHO Area 3,North Tipp./East Limerick,Dec-15,12-15 Years,Male,758
202006,CHO Area 3,Clare,16-24,16-24 Years,Female,1829
202006,CHO Area 3,Limerick,16-24,16-24 Years,Female,3020
202006,CHO Area 3,North Tipp./East Limerick,16-24,16-24 Years,Female,1203
202006,CHO Area 3,Clare,16-24,16-24 Years,Male,1606
202006,CHO Area 3,Limerick,16-24,16-24 Years,Male,2675
202006,CHO Area 3,North Tipp./East Limerick,16-24,16-24 Years,Male,1082
202006,CHO Area 3,Clare,25-34,25-34 Years,Female,1664
202006,CHO Area 3,Limerick,25-34,25-34 Years,Female,3382
202006,CHO Area 3,North Tipp./East Limerick,25-34,25-34 Years,Female,1079
202006,CHO Area 3,Clare,25-34,25-34 Years,Male,1220
202006,CHO Area 3,Limerick,25-34,25-34 Years,Male,2210
202006,CHO Area 3,North Tipp./East Limerick,25-34,25-34 Years,Male,779
202006,CHO Area 3,Clare,35-44,35-44 Years,Female,2364
202006,CHO Area 3,Limerick,35-44,35-44 Years,Female,4464
202006,CHO Area 3,North Tipp./East Limerick,35-44,35-44 Years,Female,1540
202006,CHO Area 3,Clare,35-44,35-44 Years,Male,1637
202006,CHO Area 3,Limerick,35-44,35-44 Years,Male,3339
202006,CHO Area 3,North Tipp./East Limerick,35-44,35-44 Years,Male,1176
202006,CHO Area 3,Clare,45-54,45-54 Years,Female,2563
202006,CHO Area 3,Limerick,45-54,45-54 Years,Female,4236
202006,CHO Area 3,North Tipp./East Limerick,45-54,45-54 Years,Female,1682
202006,CHO Area 3,Clare,45-54,45-54 Years,Male,2238
202006,CHO Area 3,Limerick,45-54,45-54 Years,Male,3889
202006,CHO Area 3,North Tipp./East Limerick,45-54,45-54 Years,Male,1399
202006,CHO Area 3,Clare,55-64,55-64 Years,Female,2367
202006,CHO Area 3,Limerick,55-64,55-64 Years,Female,4008
202006,CHO Area 3,North Tipp./East Limerick,55-64,55-64 Years,Female,1569
202006,CHO Area 3,Clare,55-64,55-64 Years,Male,2242
202006,CHO Area 3,Limerick,55-64,55-64 Years,Male,3889
202006,CHO Area 3,North Tipp./East Limerick,55-64,55-64 Years,Male,1462
202006,CHO Area 3,Clare,65-69,65-69 Years,Female,1387
202006,CHO Area 3,Limerick,65-69,65-69 Years,Female,2324
202006,CHO Area 3,North Tipp./East Limerick,65-69,65-69 Years,Female,879
202006,CHO Area 3,Clare,65-69,65-69 Years,Male,1182
202006,CHO Area 3,Limerick,65-69,65-69 Years,Male,2064
202006,CHO Area 3,North Tipp./East Limerick,65-69,65-69 Years,Male,813
202006,CHO Area 3,Clare,70-74,70-74 Years,Female,1808
202006,CHO Area 3,Limerick,70-74,70-74 Years,Female,2912
202006,CHO Area 3,North Tipp./East Limerick,70-74,70-74 Years,Female,1187
202006,CHO Area 3,Clare,70-74,70-74 Years,Male,1584
202006,CHO Area 3,Limerick,70-74,70-74 Years,Male,2564
202006,CHO Area 3,North Tipp./East Limerick,70-74,70-74 Years,Male,1017
202006,CHO Area 3,Clare,75+over,75 Years and Over,Female,3750
202006,CHO Area 3,Limerick,75+over,75 Years and Over,Female,6084
202006,CHO Area 3,North Tipp./East Limerick,75+over,75 Years and Over,Female,2591
202006,CHO Area 3,Clare,75+over,75 Years and Over,Male,2953
202006,CHO Area 3,Limerick,75+over,75 Years and Over,Male,4499
202006,CHO Area 3,North Tipp./East Limerick,75+over,75 Years and Over,Male,1945
202006,CHO Area 4,Kerry,0-04,Under 5 Years,Female,1076
202006,CHO Area 4,North Cork,0-04,Under 5 Years,Female,550
202006,CHO Area 4,North Lee,0-04,Under 5 Years,Female,1484
202006,CHO Area 4,South Lee,0-04,Under 5 Years,Female,1168
202006,CHO Area 4,West Cork,0-04,Under 5 Years,Female,291
202006,CHO Area 4,Kerry,0-04,Under 5 Years,Male,1114
202006,CHO Area 4,North Cork,0-04,Under 5 Years,Male,648
202006,CHO Area 4,North Lee,0-04,Under 5 Years,Male,1610
202006,CHO Area 4,South Lee,0-04,Under 5 Years,Male,1207
202006,CHO Area 4,West Cork,0-04,Under 5 Years,Male,306
202006,CHO Area 4,Kerry,05-Nov,05-11 Years,Female,2244
202006,CHO Area 4,North Cork,05-Nov,05-11 Years,Female,1311
202006,CHO Area 4,North Lee,05-Nov,05-11 Years,Female,3288
202006,CHO Area 4,South Lee,05-Nov,05-11 Years,Female,2509
202006,CHO Area 4,West Cork,05-Nov,05-11 Years,Female,708
202006,CHO Area 4,Kerry,05-Nov,05-11 Years,Male,2476
202006,CHO Area 4,North Cork,05-Nov,05-11 Years,Male,1461
202006,CHO Area 4,North Lee,05-Nov,05-11 Years,Male,3755
202006,CHO Area 4,South Lee,05-Nov,05-11 Years,Male,2922
202006,CHO Area 4,West Cork,05-Nov,05-11 Years,Male,725
202006,CHO Area 4,Kerry,Dec-15,12-15 Years,Female,1395
202006,CHO Area 4,North Cork,Dec-15,12-15 Years,Female,842
202006,CHO Area 4,North Lee,Dec-15,12-15 Years,Female,2015
202006,CHO Area 4,South Lee,Dec-15,12-15 Years,Female,1465
202006,CHO Area 4,West Cork,Dec-15,12-15 Years,Female,507
202006,CHO Area 4,Kerry,Dec-15,12-15 Years,Male,1486
202006,CHO Area 4,North Cork,Dec-15,12-15 Years,Male,880
202006,CHO Area 4,North Lee,Dec-15,12-15 Years,Male,2227
202006,CHO Area 4,South Lee,Dec-15,12-15 Years,Male,1683
202006,CHO Area 4,West Cork,Dec-15,12-15 Years,Male,534
202006,CHO Area 4,Kerry,16-24,16-24 Years,Female,2318
202006,CHO Area 4,North Cork,16-24,16-24 Years,Female,1296
202006,CHO Area 4,North Lee,16-24,16-24 Years,Female,2908
202006,CHO Area 4,South Lee,16-24,16-24 Years,Female,2106
202006,CHO Area 4,West Cork,16-24,16-24 Years,Female,762
202006,CHO Area 4,Kerry,16-24,16-24 Years,Male,2084
202006,CHO Area 4,North Cork,16-24,16-24 Years,Male,1188
202006,CHO Area 4,North Lee,16-24,16-24 Years,Male,2705
202006,CHO Area 4,South Lee,16-24,16-24 Years,Male,2051
202006,CHO Area 4,West Cork,16-24,16-24 Years,Male,691
202006,CHO Area 4,Kerry,25-34,25-34 Years,Female,2219
202006,CHO Area 4,North Cork,25-34,25-34 Years,Female,1155
202006,CHO Area 4,North Lee,25-34,25-34 Years,Female,3222
202006,CHO Area 4,South Lee,25-34,25-34 Years,Female,2530
202006,CHO Area 4,West Cork,25-34,25-34 Years,Female,600
202006,CHO Area 4,Kerry,25-34,25-34 Years,Male,1570
202006,CHO Area 4,North Cork,25-34,25-34 Years,Male,770
202006,CHO Area 4,North Lee,25-34,25-34 Years,Male,1988
202006,CHO Area 4,South Lee,25-34,25-34 Years,Male,1623
202006,CHO Area 4,West Cork,25-34,25-34 Years,Male,433
202006,CHO Area 4,Kerry,35-44,35-44 Years,Female,3287
202006,CHO Area 4,North Cork,35-44,35-44 Years,Female,1751
202006,CHO Area 4,North Lee,35-44,35-44 Years,Female,4528
202006,CHO Area 4,South Lee,35-44,35-44 Years,Female,3584
202006,CHO Area 4,West Cork,35-44,35-44 Years,Female,857
202006,CHO Area 4,Kerry,35-44,35-44 Years,Male,2401
202006,CHO Area 4,North Cork,35-44,35-44 Years,Male,1193
202006,CHO Area 4,North Lee,35-44,35-44 Years,Male,3124
202006,CHO Area 4,South Lee,35-44,35-44 Years,Male,2504
202006,CHO Area 4,West Cork,35-44,35-44 Years,Male,653
202006,CHO Area 4,Kerry,45-54,45-54 Years,Female,3351
202006,CHO Area 4,North Cork,45-54,45-54 Years,Female,1889
202006,CHO Area 4,North Lee,45-54,45-54 Years,Female,4410
202006,CHO Area 4,South Lee,45-54,45-54 Years,Female,3242
202006,CHO Area 4,West Cork,45-54,45-54 Years,Female,1121
202006,CHO Area 4,Kerry,45-54,45-54 Years,Male,3056
202006,CHO Area 4,North Cork,45-54,45-54 Years,Male,1639
202006,CHO Area 4,North Lee,45-54,45-54 Years,Male,3809
202006,CHO Area 4,South Lee,45-54,45-54 Years,Male,2799
202006,CHO Area 4,West Cork,45-54,45-54 Years,Male,907
202006,CHO Area 4,Kerry,55-64,55-64 Years,Female,3262
202006,CHO Area 4,North Cork,55-64,55-64 Years,Female,1782
202006,CHO Area 4,North Lee,55-64,55-64 Years,Female,3988
202006,CHO Area 4,South Lee,55-64,55-64 Years,Female,3304
202006,CHO Area 4,West Cork,55-64,55-64 Years,Female,1237
202006,CHO Area 4,Kerry,55-64,55-64 Years,Male,3072
202006,CHO Area 4,North Cork,55-64,55-64 Years,Male,1650
202006,CHO Area 4,North Lee,55-64,55-64 Years,Male,3772
202006,CHO Area 4,South Lee,55-64,55-64 Years,Male,2934
202006,CHO Area 4,West Cork,55-64,55-64 Years,Male,1123
202006,CHO Area 4,Kerry,65-69,65-69 Years,Female,1922
202006,CHO Area 4,North Cork,65-69,65-69 Years,Female,1090
202006,CHO Area 4,North Lee,65-69,65-69 Years,Female,2274
202006,CHO Area 4,South Lee,65-69,65-69 Years,Female,1728
202006,CHO Area 4,West Cork,65-69,65-69 Years,Female,721
202006,CHO Area 4,Kerry,65-69,65-69 Years,Male,1661
202006,CHO Area 4,North Cork,65-69,65-69 Years,Male,943
202006,CHO Area 4,North Lee,65-69,65-69 Years,Male,1907
202006,CHO Area 4,South Lee,65-69,65-69 Years,Male,1399
202006,CHO Area 4,West Cork,65-69,65-69 Years,Male,603
202006,CHO Area 4,Kerry,70-74,70-74 Years,Female,2453
202006,CHO Area 4,North Cork,70-74,70-74 Years,Female,1356
202006,CHO Area 4,North Lee,70-74,70-74 Years,Female,2882
202006,CHO Area 4,South Lee,70-74,70-74 Years,Female,2213
202006,CHO Area 4,West Cork,70-74,70-74 Years,Female,923
202006,CHO Area 4,Kerry,70-74,70-74 Years,Male,2255
202006,CHO Area 4,North Cork,70-74,70-74 Years,Male,1144
202006,CHO Area 4,North Lee,70-74,70-74 Years,Male,2526
202006,CHO Area 4,South Lee,70-74,70-74 Years,Male,1801
202006,CHO Area 4,West Cork,70-74,70-74 Years,Male,882
202006,CHO Area 4,Kerry,75+over,75 Years and Over,Female,5226
202006,CHO Area 4,North Cork,75+over,75 Years and Over,Female,3159
202006,CHO Area 4,North Lee,75+over,75 Years and Over,Female,5838
202006,CHO Area 4,South Lee,75+over,75 Years and Over,Female,5838
202006,CHO Area 4,West Cork,75+over,75 Years and Over,Female,2234
202006,CHO Area 4,Kerry,75+over,75 Years and Over,Male,3933
202006,CHO Area 4,North Cork,75+over,75 Years and Over,Male,2245
202006,CHO Area 4,North Lee,75+over,75 Years and Over,Male,4256
202006,CHO Area 4,South Lee,75+over,75 Years and Over,Male,3792
202006,CHO Area 4,West Cork,75+over,75 Years and Over,Male,1669
202006,CHO Area 5,Carlow/Kilkenny,0-04,Under 5 Years,Female,1216
202006,CHO Area 5,South Tipperary,0-04,Under 5 Years,Female,881
202006,CHO Area 5,Waterford,0-04,Under 5 Years,Female,1111
202006,CHO Area 5,Wexford,0-04,Under 5 Years,Female,1345
202006,CHO Area 5,Carlow/Kilkenny,0-04,Under 5 Years,Male,1350
202006,CHO Area 5,South Tipperary,0-04,Under 5 Years,Male,918
202006,CHO Area 5,Waterford,0-04,Under 5 Years,Male,1188
202006,CHO Area 5,Wexford,0-04,Under 5 Years,Male,1448
202006,CHO Area 5,Carlow/Kilkenny,05-Nov,05-11 Years,Female,2609
202006,CHO Area 5,South Tipperary,05-Nov,05-11 Years,Female,1596
202006,CHO Area 5,Waterford,05-Nov,05-11 Years,Female,2283
202006,CHO Area 5,Wexford,05-Nov,05-11 Years,Female,2868
202006,CHO Area 5,Carlow/Kilkenny,05-Nov,05-11 Years,Male,2880
202006,CHO Area 5,South Tipperary,05-Nov,05-11 Years,Male,1874
