MTH_YR,CHO_DESC,LHO_DESC,SERVICE_CODE,SERVICE_DESC,SERVICE_COUNT,SERVICE_TOTAL
201901,CHO Area 1,Donegal,A,Excisions/Cryotherapy/Diathermy of Skin Lesions,705,17484
201901,CHO Area 1,Cavan / Monaghan,A,Excisions/Cryotherapy/Diathermy of Skin Lesions,241,5977
201902,CHO Area 1,Sligo / Leitrim,A,Excisions/Cryotherapy/Diathermy of Skin Lesions,397,9846
201902,CHO Area 1,Cavan / Monaghan,A,Excisions/Cryotherapy/Diathermy of Skin Lesions,231,5729
201902,CHO Area 1,Donegal,A,Excisions/Cryotherapy/Diathermy of Skin Lesions,681,16889
201901,CHO Area 1,Sligo / Leitrim,A,Excisions/Cryotherapy/Diathermy of Skin Lesions,383,9498
201901,CHO Area 1,Cavan / Monaghan,AB,"LARC - counselling, insertion '&' monitoring from certified GP",49,3430
201902,CHO Area 1,Sligo / Leitrim,AB,"LARC - counselling, insertion '&' monitoring from certified GP",24,1680
201902,CHO Area 1,Donegal,AB,"LARC - counselling, insertion '&' monitoring from certified GP",80,5600
201901,CHO Area 1,Donegal,AB,"LARC - counselling, insertion '&' monitoring from certified GP",74,5180
201902,CHO Area 1,Cavan / Monaghan,AB,"LARC - counselling, insertion '&' monitoring from certified GP",70,4900
201901,CHO Area 1,Sligo / Leitrim,AB,"LARC - counselling, insertion '&' monitoring from certified GP",16,1120
201902,CHO Area 1,Sligo / Leitrim,AC,Removal of a LARC Device,13,650
201901,CHO Area 1,Sligo / Leitrim,AC,Removal of a LARC Device,4,200
201901,CHO Area 1,Donegal,AC,Removal of a LARC Device,44,2200
201901,CHO Area 1,Cavan / Monaghan,AC,Removal of a LARC Device,23,1150
201902,CHO Area 1,Donegal,AC,Removal of a LARC Device,48,2400
201902,CHO Area 1,Cavan / Monaghan,AC,Removal of a LARC Device,28,1400
201901,CHO Area 1,Sligo / Leitrim,AD,24Hr ABPM Diagnosis '&' treatment for Individual patient care '&' not general/routine test,239,14340
201901,CHO Area 1,Donegal,AD,24Hr ABPM Diagnosis '&' treatment for Individual patient care '&' not general/routine test,540,32400
201901,CHO Area 1,Cavan / Monaghan,AD,24Hr ABPM Diagnosis '&' treatment for Individual patient care '&' not general/routine test,362,21720
201902,CHO Area 1,Donegal,AD,24Hr ABPM Diagnosis '&' treatment for Individual patient care '&' not general/routine test,599,35940
201902,CHO Area 1,Cavan / Monaghan,AD,24Hr ABPM Diagnosis '&' treatment for Individual patient care '&' not general/routine test,345,20700
201902,CHO Area 1,Sligo / Leitrim,AD,24Hr ABPM Diagnosis '&' treatment for Individual patient care '&' not general/routine test,251,15060
201901,CHO Area 1,Sligo / Leitrim,AE,Cervical Screening Consult,9,450
201901,CHO Area 1,Cavan / Monaghan,B,Suturing Cuts '&' Lacerations-includes tissue glue does not include paper sutures,75,3750
201901,CHO Area 1,Donegal,B,Suturing Cuts '&' Lacerations-includes tissue glue does not include paper sutures,172,8600
201902,CHO Area 1,Sligo / Leitrim,B,Suturing Cuts '&' Lacerations-includes tissue glue does not include paper sutures,108,5400
201902,CHO Area 1,Cavan / Monaghan,B,Suturing Cuts '&' Lacerations-includes tissue glue does not include paper sutures,94,4700
201902,CHO Area 1,Donegal,B,Suturing Cuts '&' Lacerations-includes tissue glue does not include paper sutures,229,11450
201901,CHO Area 1,Sligo / Leitrim,B,Suturing Cuts '&' Lacerations-includes tissue glue does not include paper sutures,90,4500
201901,CHO Area 1,Cavan / Monaghan,C,Draining of Hydroceles,6,149
201901,CHO Area 1,Donegal,C,Draining of Hydroceles,2,50
201902,CHO Area 1,Sligo / Leitrim,C,Draining of Hydroceles,5,124
201902,CHO Area 1,Cavan / Monaghan,C,Draining of Hydroceles,3,74
201902,CHO Area 1,Donegal,C,Draining of Hydroceles,6,149
201901,CHO Area 1,Sligo / Leitrim,C,Draining of Hydroceles,4,99
201901,CHO Area 1,Cavan / Monaghan,D,Treatment and plugging of dental and nasal haemorrhages,2,50
